RT @deltanmd: ATENÇÃO: O governo Lula poderá rever os acordos de leniência da Lava Jato e bilhões de reais recuperados aos cofres públicos…,0.31,0.19
"RT @joaodamoedo: Bolsonaro suspende os recursos do Orçamento Secreto após Lula declarar apoio a Lira.  

Ele confirma o que já sabíamos: es…",0.31,0.19
"RT @Richard89Cubano: Bien por Lula da Silva, exigió que el periodista australiano Julian Assange sea liberado de su “injusto encarcelamient…",0.31,0.19
"RT @andrefernm: Você se lembra daquele cantor que chamou Jesus Cristo de travesti? Pois é, ele foi confirmado como uma das atrações na poss…",0.31,0.19
RT @LenitcLeni: Lula não foi eleito pelo povo https://t.co/44fWiTp4l5,0.31,0.19
"RT @reportersalles: Retrato da destruição cultural: Janja anuncia ""artistas"" que se apresentarão na posse de Lula. Entre as ""celebridades""…",0.31,0.19
RT @conexaopolitica: Lula se reúne com Gilmar Mendes e Bruno Dantas em Brasília https://t.co/tLvO7XMqhS,0.31,0.19
"RT @joaodamoedo: Bolsonaro suspende os recursos do Orçamento Secreto após Lula declarar apoio a Lira.  

Ele confirma o que já sabíamos: es…",0.31,0.19
RT @TerraBrasilnot: Lula falsifica números ao dizer que vai herdar um país falido https://t.co/UGD00qI0Q3,0.31,0.19
"@mesmota @BolsonaroSP @UOLNoticias Pen drive no kool, deixa de ser burro! Lula foi perseguido por um mal caráter chamado Sérgio Moro! Mas daqui a uns 4 anos Bolsonaro nem vai mais ser falado! Vai ser jogado na lata do lixo da história, O que tinha no intercept são provas da perseguição",0.31,0.19
RT @PeKelmon: Pablo Vittar fará o show de posse do Lula. A esculhambação vai começar no nascedouro. https://t.co/SviNHQkizV,0.31,0.19
"RT @Pri_Br22: Agora em Brasília.
Índios se pintam para a guerra.
Estou começando a achar que os índios vão salvar o Brasil, eles não aceita…",0.31,0.19
"RT @joaodamoedo: Bolsonaro suspende os recursos do Orçamento Secreto após Lula declarar apoio a Lira.  

Ele confirma o que já sabíamos: es…",0.31,0.19
"RT @renatajbarreto: Já temos os nomes de todos os artistas que vão cantar na posse do Lula, mas não temos os nomes dos ministros. 

Priorid…",0.31,0.19
Brasil vai ganhar a copa pois Lula foi eleito ✨,0.31,0.19
"RT @QueroSerCacto: Jovem pan questionando se Lula tem um sósia. Onde está Lula? 
#lulamorreu 
#ondeestálula
#lulanaosobearampa 
#LulaLadrao…",0.31,0.19
RT @dalai_money: @lazarorosa25 Rondônia está tomada por terroristas bolsonaristas. Os caras estão desesperados de medo do lula fazer cumpri…,0.31,0.19
RT @TerraBrasilnot: Lula falsifica números ao dizer que vai herdar um país falido https://t.co/UGD00qI0Q3,0.31,0.19
RT @Mebam8: CADÊ O LULA? https://t.co/uBboHJggBH,0.31,0.19
RT @PauIoGuedes: - O problema de Lula é que ele parou no tempo. Está preso na época em que o brasileiro mal recebia o peixe e era escraviza…,0.31,0.19
"RT @LarissaDeLuca_: 25 bilhões retornaram aos cofres públicos, mas Lula é inocente e a lava-jato foi um delírio coletivo",0.31,0.19
RT @TerraBrasilnot: A derrota de Lula antes de assumir está vindo “a cavalo” https://t.co/kLxMdLE5Je,0.31,0.19
"RT @floresdepapel6: 11.30.22 Brazil .. for the thirty-first consecutive day, the Brazilian people are on the streets asking the Armed Force…",0.31,0.19
"RT @PatriotismoNato: LUIZ INÁCIO LULA DA SILVA NUNCA MAIS SERÁ PRESIDENTE DO BRASIL.
QUERO OUVIR UM AMÉM BEM FORTE!",0.31,0.19
"RT @UOLNoticias: Em fala golpista, Zambelli pede que generais não reconheçam governo Lula https://t.co/3GHjVrky1T",0.31,0.19
"RT @tesoureiros: Terra arrasada. Não tem dinheiro, não tem remédio, não tem vacina, não sabemos de nada. O governo Lula começa sem nenhuma…",0.31,0.19
@fabiofaria @jairbolsonaro Esse é o efeito da vitória do lula! Isso e fantástico.,0.31,0.19
@NikoIasFerreira @LulaOficial Com certeza. Até pq o Lula é bem melhor KKKKK,0.31,0.19
RT @Paulogeneroso: Vejam só a moral que este Cacique dá no STF e no Lula. https://t.co/YhfRXLCynO,0.31,0.19
"RT @JovemPanNews: #PróseContras | Lula (PT) pede e Moraes antecipa diplomação

Professor de Direito Constitucional Fabio Tavares: ""A partir…",0.31,0.19
"@PedruAlves12 @atipicodan @LulaOficial @jairbolsonaro Claro, irresponsabilidade fiscal é coisa de comunista, aqui não passarão 😜 ah que fofinho, vc era nascido quando o Lula desviou 200b da saúde pro bolso dele e dos cumpanheiros? Quando foi preso na lava jato? Quando devolveu 25 b pros cofres publicos?",0.31,0.19
RT @JoaquinTeixeira: 🚨 FONTE SEGURA ME GARANTIU QUE LULA TROCOU DE OPERADORA: ELE NÃO É MAIS UM CLIENTE VIVO. EM BREVE MAIS DETALHES.,0.31,0.19
"RT @tesoureiros: Terra arrasada. Não tem dinheiro, não tem remédio, não tem vacina, não sabemos de nada. O governo Lula começa sem nenhuma…",0.31,0.19
RT @PAssistence: @geraldoalckmin Cadê o Lula verdadeiro ? Pprque elw sumiu ? Porque esse tem 5 dedos https://t.co/aj22d3eib1,0.31,0.19
"@andrecarvalhoTT da forma que Ciro articulou, era contrato Lula sim; Já Lula negociando diretamente é pragmatismo, correto lula.",0.31,0.19
"RT @RosemaryGomesS2: Dia histórico,  menina negra da periferia da zona leste de SP , cresceu,  estudou graças às políticas públicas do gove…",0.31,0.19
"RT @CECLynch: A violência golpista do bolsonarismo derrotado, voltando-se contra Lira e o Centrão, podem resultar no estreitamento de uma a…",0.31,0.19
@revistaforum Lula fazendo a limpa antes mesmo de tomar posse.,0.31,0.19
"#HeadlineNews | Lula (PT) se encontrou com lideranças do Congresso; presidente eleito teve reuniões separadas com Arthur Lira (Progressistas) e Rodrigo Pacheco (PSD)

📺 Confira na JP News https://t.co/KD2HtmSaZB",0.31,0.19
RT @TerraBrasilnot: Lula falsifica números ao dizer que vai herdar um país falido https://t.co/UGD00qI0Q3,0.31,0.19
"@vaiwandinha 
lula 13?",0.31,0.19
"RT @saritacoelho: Sim, Lula mentiu sobre o tal ""sigilo de 100 anos"" de Bolsonaro. Agora, passadas as eleições, vem jornalista confirmar aqu…",0.31,0.19
"@MariaGa88390797 @sebaalvareza No sería raro con Biden al frente del otrora respetable EEUU. Si apoya a Lula, por ser zurdo, no querrá que la derecha gobierne PY. Demasiados intereses en nuestros recursos naturales tiene.",0.31,0.19
RT @TerraBrasilnot: A derrota de Lula antes de assumir está vindo “a cavalo” https://t.co/kLxMdLE5Je,0.31,0.19
"RT @GugaNoblat: Agora que Arthur Lira é Lula, o governo Bolsonaro quer acabar com o orçamento secreto que dizia estar fora de seu controle.…",0.31,0.19
RT @UOLNoticias: Pabllo Vittar diz que show na posse de Lula é 'sonho que virou realidade' https://t.co/NI8u5W9p3M,0.31,0.19
RT @PauIoGuedes: - O problema de Lula é que ele parou no tempo. Está preso na época em que o brasileiro mal recebia o peixe e era escraviza…,0.31,0.19
"@verdouglasgomes @taoquei1 Hipócrita!
Ela está pedindo exatamente o que negaram para o Lula? Se divulgarem 100% das mensagens vazadas da Lava Jato, verão como Lula foi julgado e condenado criminosamente por um juiz completamente parcial. Vcs podem até negar os textos, mas como vão negar as próprias vozes?",0.31,0.19
"RT @joaodamoedo: Bolsonaro suspende os recursos do Orçamento Secreto após Lula declarar apoio a Lira.  

Ele confirma o que já sabíamos: es…",0.31,0.19
"RT @andrefernm: Você se lembra daquele cantor que chamou Jesus Cristo de travesti? Pois é, ele foi confirmado como uma das atrações na poss…",0.31,0.19
RT @carlosjordy: Veja o que a imprensa internacional fala sobre as eleições e os protestos no Brasil. Só a mídia brasileira ignora os fatos…,0.31,0.19
"RT @agoranoticiasbr: Coronel Montenegro: ‘Lula vem acompanhado de gente da pior estirpe’ https://t.co/WE4PyW0dI3
https://t.co/WE4PyW0dI3",0.31,0.19
RT @KatieDaviscourt: The biggest question about the protests in Brazil is where are President-elect Lula’s supporters? Leftists are known f…,0.31,0.19
"RT @LulaOficial: O #FestivalDoFuturo já tem vários artistas confirmados. A coordenadora de organização da posse, @JanjaLula divulgou alguns…",0.31,0.19
"RT @Biakicis: General desmente O Globo, diz que não 'conversa' com governo de transição e amplia rumores sobre 'aflição' de Lula por diplom…",0.31,0.19
"RT @lucaspavanato: Renan Calheiros apresentará um projeto em ""defesa da democracia"".

Esse projeto, pasmem, prevê prisão para pessoas que s…",0.31,0.19
RT @Corvinao19: Cadê o Lula ?https://t.co/dDorjV7DlV https://t.co/oZ86HJVR0z,0.31,0.19
¿No serán los mismos que dicen que Lula es un impostor disfrazado? https://t.co/43WuTe2nWg,0.31,0.19
RT @PeKelmon: Pablo Vittar fará o show de posse do Lula. A esculhambação vai começar no nascedouro. https://t.co/SviNHQkizV,0.31,0.19
RT @lilianaf523: QATAR- DOHA.  La hinchada de Brasil canta “LULA LADRÓN” en el Estadio Lusail. https://t.co/AZmBgP0IZe,0.31,0.19
"RT @PriscilaBCosta_: URGENTE! Depois da péssima repercussão sobre documentos que defendiam legalização das drogas, soltura de presos e desm…",0.31,0.19
"@Tiagolattari @andrei_antony @rodrigomarcial_ - Venezuela não é democracia
- PT é organização criminosa ligado ao narcotráfico e ao terrorismo internacional
- Lula é bandido
- Regulação da mídia é censura 
- Tomar dose doses de algo que não imuniza não é normal
- Máscaras não funcionam",0.31,0.19
RT @TerraBrasilnot: A derrota de Lula antes de assumir está vindo “a cavalo” https://t.co/kLxMdLE5Je,0.31,0.19
RT @PanAmPost_es: La lista de investigados por la Justicia que conforman el equipo de transición de Lula –que en un principio se habló de u…,0.31,0.19
@ptbrasil Tá errado esse aí ladrão é o @LulaOficial  esse fudeu com a nação a amou com a Petrobras lula maior ladrão das galáxias mente que o toba nem sente.,0.31,0.19
RT @siteptbr: 🚨AGORA: Pabllo Vittar irá cantar na posse de Lula. https://t.co/o4FfMPI5kN,0.31,0.19
"@TiaWeintraub @sandrabrasilia O que vcs duas estão conseguindo de vez é manchar a imagem dos irmãos weintraubs. Não concordo com muitas coisas que o presidente e falsos direitistas fizeram. Mas não é o momento de torcer contra o Brasil. 
Vcs estão com certeza torcendo pelo Lula e isso  é de mais. 
Patético!!",0.31,0.19
RT @TerraBrasilnot: Lula falsifica números ao dizer que vai herdar um país falido https://t.co/UGD00qI0Q3,0.31,0.19
"RT @folha: Bolsonarista, Luiza Tomé fecha conta em banco que apoia Lula https://t.co/bdJjUEW11x",0.31,0.19
"RT @ggreenwald: I'm thrilled to have sat down today with WikiLeaks' editor-in-chief @khrafnsson, as he travels through South America. He ha…",0.31,0.19
"Se o Lula tomar posse, daqui um ano vamos ler cartas abertas de pseudo-liberais dizendo que não imaginavam que o Lula queria transformar o Brasil em uma ditadura chinesa",0.31,0.19
"RT @jc_pe: Bolsonaro manda suspender pagamento do Orçamento secreto após apoio de Lula a Arthur Lira
https://t.co/efMSEJ3Pcg",0.31,0.19
RT @Estadao: Bolsonaro manda suspender dinheiro do orçamento secreto após Lula fechar apoio a Lira (via @EstadaoPolitica) https://t.co/dhXR…,0.31,0.19
RT @AndradeFeel: O povo elege um monte de deputado do centrão e agora quer chorar porque Lula está fazendo acordos com eles para poder gove…,0.31,0.19
RT @Paulogeneroso: Vejam só a moral que este Cacique dá no STF e no Lula. https://t.co/YhfRXLCynO,0.31,0.19
"RT @FernandoHoliday: Lula defende a liberdade, eles disseram… https://t.co/cX5d9Gm1vV",0.31,0.19
RT @deltanmd: ATENÇÃO: O governo Lula poderá rever os acordos de leniência da Lava Jato e bilhões de reais recuperados aos cofres públicos…,0.31,0.19
"RT @Biakicis: General desmente O Globo, diz que não 'conversa' com governo de transição e amplia rumores sobre 'aflição' de Lula por diplom…",0.31,0.19
RT @TerraBrasilnot: Lula falsifica números ao dizer que vai herdar um país falido https://t.co/UGD00qI0Q3,0.31,0.19
Lula deve ir aos EUA encontrar Biden antes da posse https://t.co/dc5kKgvo2h,0.31,0.19
@folha Lula disparou nas notícias pelo mundo a fora de que ele foi um ladrão descondenado pelo STF... Só se foi essa notícia né???? Pq ele não sobe a rampa kkkkkkkk,0.31,0.19
"@Vanessa_CLV @Max_1968 @GugaNoblat sim, o lula nem assumiu e já tem acesso ao BOLSOLÃO pra comprar a base que o Bolsonaro já comprou 😅",0.31,0.19
"RT @renatajbarreto: Já temos os nomes de todos os artistas que vão cantar na posse do Lula, mas não temos os nomes dos ministros. 

Priorid…",0.31,0.19
"RT @traumann: Quem quiser entender o Haddad precisa entender isso: nas vésperas de o Lula decidir seu ministério, o Haddad deixa Brasília e…",0.31,0.19
"RT @FbioCarvalhoDo2: Lula de elegeu!

Zambelli fugiu.

Gabriel Monteiro foi preso.

Gui de Pádua morreu.

Bolsonaro com infecção.

Bolsonar…",0.31,0.19
"RT @saritacoelho: Sim, Lula mentiu sobre o tal ""sigilo de 100 anos"" de Bolsonaro. Agora, passadas as eleições, vem jornalista confirmar aqu…",0.31,0.19
RT @alertatotal: #3em1 Grupo de transição de Lula sugere consulta pública sobre regulação da internet. Pura mentira do PT. Establishment já…,0.31,0.19
"RT @renatajbarreto: Já temos os nomes de todos os artistas que vão cantar na posse do Lula, mas não temos os nomes dos ministros. 

Priorid…",0.31,0.19
"RT @ChucaElida: Divulguem ao máximo. O mundo precisa saber .
E 2 perguntas que não querem calar:
1) cadê os eleitores de Lula?????
2) Por q…",0.31,0.19
RT @lilianaf523: QATAR- DOHA.  La hinchada de Brasil canta “LULA LADRÓN” en el Estadio Lusail. https://t.co/AZmBgP0IZe,0.31,0.19
"RT @majorgabdf: @ptbrasil Já que você citou essa mentira, vamos falar sobre o Lula?
Segue: 2003 - ONG Rede 13 é extinta após receber R$ 7,5…",0.31,0.19
RT @danibacedo: enquanto a Equipe d Transição do Lula negocia uma PEC para garantir o Bolsa Família e a manutenção da Saúde e Educação.. a…,0.31,0.19
@camila_r_r_ conheci o lula no complex do alemao,0.31,0.19
"RT @BrasinhaNews: Dois fatos incontestáveis.

1 - Lula ""falsifica números.""
2 - ""Economia nacional em ordem."" https://t.co/hDtmzk0v8c",0.31,0.19
RT @toscano_rhea: @WillLisil @Madaveme1 ex-convict Lula isn’t on the ramp and the president of the electoral court will be arrested.  We Br…,0.31,0.19
"RT @GugaNoblat: Agora que Arthur Lira é Lula, o governo Bolsonaro quer acabar com o orçamento secreto que dizia estar fora de seu controle.…",0.31,0.19
"@ananias_1979 Lula tem que escolher muito bem as batalhas nesse governo, que será extremamente desafiador, no mínimo. A 1 grande batalha já está as claras e é a mais urgente, a luta contra a fome, que voltou com tudo. Infelizmente, não dá para resolver tudo ao mesmo tempo.",0.31,0.19
RT @KatieDaviscourt: The biggest question about the protests in Brazil is where are President-elect Lula’s supporters? Leftists are known f…,0.31,0.19
"RT @hilde_angel: https://t.co/8ATusDfHpX 
Chegou o momento de Lula subir do patamar de líder para o de Herói. https://t.co/epTB6aRH5A",0.31,0.19
"RT @joaodamoedo: Bolsonaro suspende os recursos do Orçamento Secreto após Lula declarar apoio a Lira.  

Ele confirma o que já sabíamos: es…",0.31,0.19
